time_tag,p3_flux_ic
2007-04-01 00:00:00,0.166
2007-04-01 00:05:00,0.213
2007-04-01 00:10:00,0.154
2007-04-01 00:15:00,0.122
2007-04-01 00:20:00,0.304
2007-04-01 00:25:00,0.186
2007-04-01 00:30:00,0.251
2007-04-01 00:35:00,0.191
2007-04-01 00:40:00,0.226
2007-04-01 00:45:00,0.16
2007-04-01 00:50:00,0.206
2007-04-01 00:55:00,0.166
2007-04-01 01:00:00,0.146
2007-04-01 01:05:00,0.208
2007-04-01 01:10:00,0.188
2007-04-01 01:15:00,0.135
2007-04-01 01:20:00,0.16
2007-04-01 01:25:00,0.207
2007-04-01 01:30:00,0.108
2007-04-01 01:35:00,0.215
2007-04-01 01:40:00,0.191
2007-04-01 01:45:00,0.165
2007-04-01 01:50:00,0.125
2007-04-01 01:55:00,0.161
2007-04-01 02:00:00,0.195
2007-04-01 02:05:00,0.201
2007-04-01 02:10:00,0.135
2007-04-01 02:15:00,0.157
2007-04-01 02:20:00,0.236
2007-04-01 02:25:00,0.16
2007-04-01 02:30:00,0.181
2007-04-01 02:35:00,0.156
2007-04-01 02:40:00,0.179
2007-04-01 02:45:00,0.233
2007-04-01 02:50:00,0.372
2007-04-01 02:55:00,0.108
2007-04-01 03:00:00,0.179
2007-04-01 03:05:00,0.118
2007-04-01 03:10:00,0.179
2007-04-01 03:15:00,0.161
2007-04-01 03:20:00,0.166
2007-04-01 03:25:00,0.148
2007-04-01 03:30:00,0.478
2007-04-01 03:35:00,0.113
2007-04-01 03:40:00,0.13
2007-04-01 03:45:00,0.119
2007-04-01 03:50:00,0.202
2007-04-01 03:55:00,0.13
2007-04-01 04:00:00,0.197
2007-04-01 04:05:00,0.161
2007-04-01 04:10:00,0.281
2007-04-01 04:15:00,0.175
2007-04-01 04:20:00,0.255
2007-04-01 04:25:00,0.175
2007-04-01 04:30:00,0.341
2007-04-01 04:35:00,0.14
2007-04-01 04:40:00,0.155
2007-04-01 04:45:00,0.165
2007-04-01 04:50:00,0.17
2007-04-01 04:55:00,0.278
2007-04-01 05:00:00,0.219
2007-04-01 05:05:00,0.279
2007-04-01 05:10:00,0.294
2007-04-01 05:15:00,0.16
2007-04-01 05:20:00,0.244
2007-04-01 05:25:00,0.16
2007-04-01 05:30:00,0.131
2007-04-01 05:35:00,0.242
2007-04-01 05:40:00,0.15
2007-04-01 05:45:00,0.227
2007-04-01 05:50:00,0.193
2007-04-01 05:55:00,0.21
2007-04-01 06:00:00,0.118
2007-04-01 06:05:00,0.114
2007-04-01 06:10:00,0.161
2007-04-01 06:15:00,0.108
2007-04-01 06:20:00,0.164
2007-04-01 06:25:00,0.223
2007-04-01 06:30:00,0.193
2007-04-01 06:35:00,0.307
2007-04-01 06:40:00,0.227
2007-04-01 06:45:00,0.294
2007-04-01 06:50:00,0.108
2007-04-01 06:55:00,0.112
2007-04-01 07:00:00,0.141
2007-04-01 07:05:00,0.18
2007-04-01 07:10:00,0.288
2007-04-01 07:15:00,0.108
2007-04-01 07:20:00,0.215
2007-04-01 07:25:00,0.14
2007-04-01 07:30:00,0.117
2007-04-01 07:35:00,0.263
2007-04-01 07:40:00,0.203
2007-04-01 07:45:00,0.386
2007-04-01 07:50:00,0.18
2007-04-01 07:55:00,0.161
2007-04-01 08:00:00,0.112
2007-04-01 08:05:00,0.142
2007-04-01 08:10:00,0.142
2007-04-01 08:15:00,0.259
2007-04-01 08:20:00,0.207
2007-04-01 08:25:00,0.499
2007-04-01 08:30:00,0.112
2007-04-01 08:35:00,0.152
2007-04-01 08:40:00,0.36
2007-04-01 08:45:00,0.15
2007-04-01 08:50:00,0.301
2007-04-01 08:55:00,0.142
2007-04-01 09:00:00,0.108
2007-04-01 09:05:00,0.182
2007-04-01 09:10:00,0.176
2007-04-01 09:15:00,0.2
2007-04-01 09:20:00,0.123
2007-04-01 09:25:00,0.169
2007-04-01 09:30:00,0.189
2007-04-01 09:35:00,0.276
2007-04-01 09:40:00,0.147
2007-04-01 09:45:00,0.141
2007-04-01 09:50:00,0.192
2007-04-01 09:55:00,0.108
2007-04-01 10:00:00,0.126
2007-04-01 10:05:00,0.538
2007-04-01 10:10:00,0.129
2007-04-01 10:15:00,0.311
2007-04-01 10:20:00,0.127
2007-04-01 10:25:00,0.213
2007-04-01 10:30:00,0.334
2007-04-01 10:35:00,0.261
2007-04-01 10:40:00,0.141
2007-04-01 10:45:00,0.202
2007-04-01 10:50:00,0.2
2007-04-01 10:55:00,0.357
2007-04-01 11:00:00,0.113
2007-04-01 11:05:00,0.108
2007-04-01 11:10:00,0.169
2007-04-01 11:15:00,0.141
2007-04-01 11:20:00,0.249
2007-04-01 11:25:00,0.15
2007-04-01 11:30:00,0.191
2007-04-01 11:35:00,0.292
2007-04-01 11:40:00,0.161
2007-04-01 11:45:00,0.146
2007-04-01 11:50:00,0.297
2007-04-01 11:55:00,0.182
2007-04-01 12:00:00,0.16
2007-04-01 12:05:00,0.112
2007-04-01 12:10:00,0.176
2007-04-01 12:15:00,0.112
2007-04-01 12:20:00,0.135
2007-04-01 12:25:00,0.112
2007-04-01 12:30:00,0.214
2007-04-01 12:35:00,0.135
2007-04-01 12:40:00,0.206
2007-04-01 12:45:00,0.211
2007-04-01 12:50:00,0.169
2007-04-01 12:55:00,0.204
2007-04-01 13:00:00,0.175
