time_tag,p3_flux_ic
1996-02-01 00:00:00,0.2
1996-02-01 00:05:00,0.273
1996-02-01 00:10:00,0.206
1996-02-01 00:15:00,0.15
1996-02-01 00:20:00,0.141
1996-02-01 00:25:00,0.172
1996-02-01 00:30:00,0.138
1996-02-01 00:35:00,0.458
1996-02-01 00:40:00,0.233
1996-02-01 00:45:00,0.168
1996-02-01 00:50:00,0.128
1996-02-01 00:55:00,0.106
1996-02-01 01:00:00,0.154
1996-02-01 01:05:00,0.266
1996-02-01 01:10:00,0.222
1996-02-01 01:15:00,0.198
1996-02-01 01:20:00,0.186
1996-02-01 01:25:00,0.106
1996-02-01 01:30:00,0.157
1996-02-01 01:35:00,0.121
1996-02-01 01:40:00,0.179
1996-02-01 01:45:00,0.353
1996-02-01 01:50:00,0.257
1996-02-01 01:55:00,0.208
1996-02-01 02:00:00,0.107
1996-02-01 02:05:00,0.106
1996-02-01 02:10:00,0.118
1996-02-01 02:15:00,0.15
1996-02-01 02:20:00,0.184
1996-02-01 02:25:00,0.307
1996-02-01 02:30:00,0.295
1996-02-01 02:35:00,0.176
1996-02-01 02:40:00,0.49
1996-02-01 02:45:00,0.209
1996-02-01 02:50:00,0.215
1996-02-01 02:55:00,0.165
1996-02-01 03:00:00,0.211
1996-02-01 03:05:00,0.221
1996-02-01 03:10:00,0.22
1996-02-01 03:15:00,0.168
1996-02-01 03:20:00,0.109
1996-02-01 03:25:00,0.25
1996-02-01 03:30:00,0.166
1996-02-01 03:35:00,0.134
1996-02-01 03:40:00,0.352
1996-02-01 03:45:00,0.19
1996-02-01 03:50:00,0.106
1996-02-01 03:55:00,0.227
1996-02-01 04:00:00,0.242
1996-02-01 04:05:00,0.24
1996-02-01 04:10:00,0.173
1996-02-01 04:15:00,0.171
1996-02-01 04:20:00,0.235
1996-02-01 04:25:00,0.194
1996-02-01 04:30:00,0.208
1996-02-01 04:35:00,0.261
1996-02-01 04:40:00,0.193
1996-02-01 04:45:00,0.166
1996-02-01 04:50:00,0.182
1996-02-01 04:55:00,0.126
1996-02-01 05:00:00,0.173
1996-02-01 05:05:00,0.145
1996-02-01 05:10:00,0.204
1996-02-01 05:15:00,0.11
1996-02-01 05:20:00,0.196
1996-02-01 05:25:00,0.109
1996-02-01 05:30:00,0.161
1996-02-01 05:35:00,0.174
1996-02-01 05:40:00,0.133
1996-02-01 05:45:00,0.168
1996-02-01 05:50:00,0.241
1996-02-01 05:55:00,0.169
1996-02-01 06:00:00,0.415
1996-02-01 06:05:00,0.204
1996-02-01 06:10:00,0.167
1996-02-01 06:15:00,0.137
1996-02-01 06:20:00,0.154
1996-02-01 06:25:00,0.214
1996-02-01 06:30:00,0.158
1996-02-01 06:35:00,0.403
1996-02-01 06:40:00,0.266
1996-02-01 06:45:00,0.17
1996-02-01 06:50:00,0.211
1996-02-01 06:55:00,0.485
1996-02-01 07:00:00,0.206
1996-02-01 07:05:00,0.273
1996-02-01 07:10:00,0.244
1996-02-01 07:15:00,0.238
1996-02-01 07:20:00,0.137
1996-02-01 07:25:00,0.137
1996-02-01 07:30:00,0.249
1996-02-01 07:35:00,0.403
1996-02-01 07:40:00,0.333
1996-02-01 07:45:00,0.106
1996-02-01 07:50:00,0.189
1996-02-01 07:55:00,0.159
1996-02-01 08:00:00,0.406
1996-02-01 08:05:00,0.222
1996-02-01 08:10:00,0.262
1996-02-01 08:15:00,0.106
1996-02-01 08:20:00,0.106
1996-02-01 08:25:00,0.234
1996-02-01 08:30:00,0.109
1996-02-01 08:35:00,0.229
1996-02-01 08:40:00,0.267
1996-02-01 08:45:00,0.211
1996-02-01 08:50:00,0.271
1996-02-01 08:55:00,0.271
1996-02-01 09:00:00,0.106
1996-02-01 09:05:00,0.141
1996-02-01 09:10:00,0.13
1996-02-01 09:15:00,0.251
1996-02-01 09:20:00,0.121
1996-02-01 09:25:00,0.137
1996-02-01 09:30:00,0.167
1996-02-01 09:35:00,0.257
1996-02-01 09:40:00,0.317
1996-02-01 09:45:00,0.254
1996-02-01 09:50:00,0.154
1996-02-01 09:55:00,0.144
1996-02-01 10:00:00,0.161
1996-02-01 10:05:00,0.157
1996-02-01 10:10:00,0.128
1996-02-01 10:15:00,0.28
1996-02-01 10:20:00,0.22
1996-02-01 10:25:00,0.214
1996-02-01 10:30:00,0.134
1996-02-01 10:35:00,0.146
1996-02-01 10:40:00,0.134
1996-02-01 10:45:00,0.205
1996-02-01 10:50:00,0.209
1996-02-01 10:55:00,0.106
1996-02-01 11:00:00,0.214
1996-02-01 11:05:00,0.169
1996-02-01 11:10:00,0.106
1996-02-01 11:15:00,0.125
1996-02-01 11:20:00,0.177
1996-02-01 11:25:00,0.271
1996-02-01 11:30:00,0.298
1996-02-01 11:35:00,0.123
1996-02-01 11:40:00,0.142
1996-02-01 11:45:00,0.2
1996-02-01 11:50:00,0.215
1996-02-01 11:55:00,0.165
1996-02-01 12:00:00,0.227
1996-02-01 12:05:00,0.2
1996-02-01 12:10:00,0.228
1996-02-01 12:15:00,0.171
1996-02-01 12:20:00,0.11
1996-02-01 12:25:00,0.297
1996-02-01 12:30:00,0.396
1996-02-01 12:35:00,0.179
1996-02-01 12:40:00,0.304
1996-02-01 12:45:00,0.173
1996-02-01 12:50:00,0.135
1996-02-01 12:55:00,0.292
1996-02-01 13:00:00,0.123
