time_tag,p3_flux_ic
1990-03-18 22:00:00,0.020938
1990-03-18 22:05:00,0.0
1990-03-18 22:10:00,0.057982
1990-03-18 22:15:00,0.041876
1990-03-18 22:20:00,0.0
1990-03-18 22:25:00,0.0
1990-03-18 22:30:00,0.038655
1990-03-18 22:35:00,0.020938
1990-03-18 22:40:00,0.041876
1990-03-18 22:45:00,0.041876
1990-03-18 22:50:00,0.0
1990-03-18 22:55:00,0.020938
1990-03-18 23:00:00,0.0
1990-03-18 23:05:00,0.020938
1990-03-18 23:10:00,0.038655
1990-03-18 23:15:00,0.020938
1990-03-18 23:20:00,0.0
1990-03-18 23:25:00,0.020938
1990-03-18 23:30:00,0.019327
1990-03-18 23:35:00,0.041876
1990-03-18 23:40:00,0.041876
1990-03-18 23:45:00,0.041876
1990-03-18 23:50:00,0.0
1990-03-18 23:55:00,0.020938
1990-03-19 00:00:00,0.0
1990-03-19 00:05:00,0.041876
1990-03-19 00:10:00,0.0
1990-03-19 00:15:00,0.020938
1990-03-19 00:20:00,0.041876
1990-03-19 00:25:00,0.020938
1990-03-19 00:30:00,0.096635
1990-03-19 00:35:00,0.041876
1990-03-19 00:40:00,0.041876
1990-03-19 00:45:00,0.041876
1990-03-19 00:50:00,0.0
1990-03-19 00:55:00,0.020938
1990-03-19 01:00:00,0.041876
1990-03-19 01:05:00,0.020938
1990-03-19 01:10:00,0.019327
1990-03-19 01:15:00,0.020938
1990-03-19 01:20:00,0.0
1990-03-19 01:25:00,0.020938
1990-03-19 01:30:00,0.0
1990-03-19 01:35:00,0.062814
1990-03-19 01:40:00,0.0
1990-03-19 01:45:00,0.019327
1990-03-19 01:50:00,0.041876
1990-03-19 01:55:00,0.041876
1990-03-19 02:00:00,0.062812
1990-03-19 02:05:00,0.020938
1990-03-19 02:10:00,0.038655
1990-03-19 02:15:00,0.020938
1990-03-19 02:20:00,0.0
1990-03-19 02:25:00,0.057982
1990-03-19 02:30:00,0.020938
1990-03-19 02:35:00,0.041876
1990-03-19 02:40:00,0.041876
1990-03-19 02:45:00,0.038655
1990-03-19 02:50:00,0.020938
1990-03-19 02:55:00,0.0
1990-03-19 03:00:00,0.020938
1990-03-19 03:05:00,0.038655
1990-03-19 03:10:00,0.020938
1990-03-19 03:15:00,0.020938
1990-03-19 03:20:00,0.020938
1990-03-19 03:25:00,0.019327
1990-03-19 03:30:00,0.020938
1990-03-19 03:35:00,0.041876
1990-03-19 03:40:00,0.041876
1990-03-19 03:45:00,0.0
1990-03-19 03:50:00,0.0
1990-03-19 03:55:00,0.0
1990-03-19 04:00:00,0.020938
1990-03-19 04:05:00,0.019327
1990-03-19 04:10:00,0.041876
1990-03-19 04:15:00,0.0
1990-03-19 04:20:00,0.020938
1990-03-19 04:25:00,0.0
1990-03-19 04:30:00,0.020938
